Date,Code,Name,Cell,Base_Price,1D_Return,3D_Return,5D_Return,Settled_Count,Type1,Type2,Type3,Break_MA5,Break_MA20,Break_MA60
2026-05-29,064260,다날,R1C1,6160.0,0.0,0.0,-2.92,3,,,,,,
2026-05-29,007810,코리아써키트,R3C2,119300.0,0.0,0.0,0.25,3,,,,,,
2026-05-29,034230,파라다이스,R1C1,14100.0,0.0,0.0,-1.77,3,,,,,,
2026-05-29,458870,씨어스,R1C2,31750.0,0.0,0.0,-0.47,3,,,,,,
2026-05-29,064290,인텍플러스,R2C2,42100.0,0.0,0.0,-1.43,3,,,,,,
2026-05-29,060250,NHN KCP,R2C1,17930.0,0.0,0.0,3.4,3,,,,,,
2026-05-29,067390,아스트,R1C1,683.0,0.0,-8.64,-12.15,3,,,,,,
2026-05-29,000150,두산,R4C3,1972000.0,12.07,11.71,,2,,,,,,
2026-05-29,251270,넷마블,R1C1,42500.0,0.0,0.0,0.94,3,,,,,,
2026-05-29,000810,삼성화재,R2C2,569000.0,0.0,0.0,6.15,3,,,,,,
2026-05-29,018000,유니슨,R1C1,1013.0,0.0,-2.17,-6.12,3,,,,,,
2026-05-29,307180,아이엘,R2C1,8470.0,0.0,-2.13,-4.6,3,,,,,,
2026-05-29,005440,현대지에프홀딩스,R2C1,13730.0,0.0,0.0,-6.26,3,,,,,,
2026-05-29,0126Z0,삼성에피스홀딩스,R1C3,484000.0,-2.79,-0.31,,2,,,,,,
2026-05-29,900140,엘브이엠씨홀딩스,R1C2,1459.0,0.0,-4.46,-5.14,3,,,,,,
2026-05-29,308080,바이젠셀,R2C1,13590.0,0.0,-5.08,-11.11,3,,,,,,
2026-05-29,230240,에치에프알,R3C1,31850.0,0.0,0.0,-2.35,3,,,,,,
2026-05-29,293490,카카오게임즈,R1C2,9500.0,0.0,-1.47,-0.95,3,,,,,,
2026-05-29,042000,카페24,R2C3,20750.0,0.48,5.3,,2,,,,,,
2026-05-29,012210,삼미금속,R2C3,11890.0,-4.37,-9.76,,2,,,,,,
2026-05-29,216080,제테마,R3C4,5690.0,-13.88,-13.97,,2,,,,,,
2026-05-29,376900,로킷헬스케어,R2C2,54800.0,0.0,0.0,8.39,3,,,,,,
2026-05-29,187870,디바이스,R2C2,25950.0,0.0,0.0,-10.98,3,,,,,,
2026-05-29,017550,수산세보틱스,R3C1,2830.0,0.0,-9.01,-9.89,3,,,,,,
2026-05-29,035510,신세계 I&C,R4C3,16910.0,1.12,5.74,,2,,,,,,
2026-05-29,314130,지놈앤컴퍼니,R3C1,6120.0,0.0,-6.05,-10.13,3,,,,,,
2026-05-29,037030,파워넷,R2C1,7440.0,0.0,-3.49,-6.85,3,,,,,,
2026-05-29,900290,GRT,R2C1,3600.0,0.0,11.11,1.94,3,,,,,,
2026-05-29,0007C0,아크릴,R2C3,32300.0,0.0,0.0,-6.81,3,,,,,,
2026-05-29,037560,LG헬로비전,R2C4,2200.0,22.73,30.0,,2,,,,,,
